 ,Australia,Brazil,Canada,Switzerland,Chile,China,Colombia,United Kingdom,Hong Kong SAR,Indonesia,India,Japan,Cambodia,Korea,Mexico,Malaysia,New Zealand,Peru,Philippines,Sweden,Singapore,Thailand,United States,Vietnam,Eurosystem,South Africa,Turkey
Access limited by/to,RBA eligible counterparties,All financial institutions,"(i) Primary Dealers, Government of Canada collateral", ,"Banks; Banks; Banks; Banks; Banks; Banks, pension and unemployment funds administrators, insurance companies, mutual funds, Stock brokers companies, security companies; Supervised financial institutions; Banks","(i) Eligible banks
(ii) 3 policy banks","1. Credit institutions, BancÃ³ldex (development bank), broker dealers (participants of the government’s market making program), asset managers of open-ended funds on behalf of those funds, government special institutions, asset managers (proprietary account, on behalf of third parties or managed funds), pension funds (proprietary account, on behalf of third parties or managed funds), securitization companies and insurance companies, Icetex (development bank), deposit insurance corporation, especially foreign exchange and financial intermediation service companies, capitalization companies, companies specializing in electronic deposits and payments and central counterparty risk clearinghouses.
2. Same of 1 without counterparty risk clearing houses.
3. Same of 2 without capitalization funds. Pension managers only on behalf of severance pay funds.
4. Participants of the government’s market making program.
5. Same of 1.","(i) Gilt-edged Market Makers (GEMMs)
(ii) Sterling corporate bond market makers
(iii) Members of the SMF with DWF access",Authorised institutions,"(i, ii, & iii) Banks registered as participants in monetary operations",No restriction. Entities having securities account and funds account with the RBI can participate.,"Financial institutions, financial instruments firms that conduct the first financial instruments business, securities finance companies, and tanshi companies.", ,"(i) Banks selected as eligible RP counterparties
(ii) Banks and investment & securities companies selected as eligible counterparties
(iii) Banks and investment & securities and life insurance companies selected as eligible counterparties",Commercial and development banks only,(i) Financial institutions that are interbank participants,Authorised counterparties.,Depositary institutions; Depositary institutions; Depositary institutions; Depositary institutions; Depositary institutions; Depositary institutions; Local financial institutions; Local financial institutions,"(1) Banks and NBQBs; resident funds
(2) Banks and NBQBs",Monetary policy counterparties,"(i) Primary dealers
(ii) Individuals and institutions
(iii) Individuals and institutions",BOT's outright counterparties,Primary dealers,OT: Regulations in Circular 42/2015/TT-NHNN on OMOs (Circular 42) as amended and supplemented by Circular No. 09/2021/TT-NHNN dated 07/07/2021; Circular 16/2019/TT-NHNN,"(i) ECB eligible monetary policy counterparties that have submitted required statistical data to calculate allowances
(ii) ECB eligible monetary policy counterparties that have submitted required statistical data to calculate allowances
(iii) ECB eligible monetary policy counterparties that have submitted required statistical data to calculate allowances
(iv) ECB eligible monetary policy counterparties
(v) and (vi) ECB eligible monetary policy counterparties and Eurosystem investment counterparties", ,"Eligible collateral, CBRT counterparties only"
Function(s),To manage liquidity ahead of large government bond maturities,For monetary policy purposes / Managing liquidity in the money markets [297],(i) Standing liquidity facility for Primary Dealers,MP implementation,"Liquidity injection; Liquidity withdrawal; Liquidity injection; Liquidity injection; Liquidity withdrawal; Liquidity withdrawal, for a longer period of time; To absorb excess liquidity; Provide liquidity and support credit flow","(i) For monetary policy purposes / Liquidity management
(ii) Liquidity management",1.To absorb liquidity; 2. To inject liquidity 3. To inject liquidity 4. To absorb long term excess liquidity; 5.To absorb short term excess liquidity.,MP implementation,Maintenance of financial stability,"(i & ii) Liquidity management
(iii) Liquidity management, FX intervention through purchases/sales of gov't bond",Durable liquidity management,"(i) Liqudity injection
(ii) A temporary measure to make the effect of monetary easing permeate the entire economy, with a view to achieving price stability and thereby contributing to the sound development of the national economy", ,"(i) Keeping the O/N call rate from deviating sharply from the Base Rate (Liquidity Management)
(ii) Securing Collateral for RRP, Market Stability Measures
(iii) Market Stability Measures / Securing Collateral for RRP","Alternative for banks without MRDs or with a small amount in MRDs, which can use these deposits as a source of collateral for operations of liquidity provision carried out by the central bank.",(i) Absorb excess liquidity,"1, 2, 4) Monetary Policy implementation and/or Liquidity management 3) Funding for Crown's Business Finance Guarantee Scheme.",Provide short and medium term liquidity; Provide short and medium term liquidity; Provide short and medium term liquidity; Provide medium term liquidity; Provide short and medium term liquidity; Withdraw liquidity; Withdraw liquidity / FX Intervention; FX Intervention,Liquidity management,Influence longer-term interest rates.,"(i) Liquidity injection and withdrawal
(ii) Liquidity injection and withdrawal
(iii) Liquidity injection and withdrawal",Liquidity management [298],Portfolio management; influence longer-term interest rates; smooth market functioning,OT: Regulations in Circular 42/2015/TT-NHNN on OMOs (Circular 42) as amended and supplemented by Circular No. 09/2021/TT-NHNN dated 07/07/2021; Circular 16/2019/TT-NHNN,"(i) Improving bank lending to the euro area non-financial private sector, excluding household loans for house purchase
(ii) Improving bank lending to the euro area non-financial private sector, excluding household loans for house purchase
(iii) Preserving favourable bank lending conditions and stimulate bank lending to the real economy
(iv) A liquidity backstop facility, and contribute preserving the smooth functioning of money markets during the extended pandemic period.
(v) and (vi) (a) monetary policy accommodation
(b and c) monetary policy accommodation and enhancement of monetary transmission mechanism by supporting market segments that play key role in credit provision to broad economy
(d) monetary policy accommodation and further strengthening of the pass-through of the Eurosystem’s asset purchases to the financing conditions of the real economy
(vii) as the Governing Council continues normalising monetary policy, the TPI will ensure that the monetary policy stance is transmitted smoothly across all euro area countries.",to manage liquidity,To avoid temporary liquidity shortages that may cause interruptions in the payment system and technical payment issues that may obstruct the functioning of financial markets
Settlement system,"RTGS, since 1998",(1) STR; (2) SPI [299],"Lynx (RTGS), since September 2021 [300]","RTGS, since 1987","RTGS, since 2004","RTGS, since 2005",Real time gross settlement,"RTGS, since 1996","RTGS, since 1996","RTGS, since 2000",RTGS,"RTGS, since 2001",NBCP,"RTGS, since 1994 [301]",RTGS,"RTGS, since 1999","RTGS, since 1998",LBTR (RTGS),"RTGS (PhilPaSSplus), since 2002","RTGS, current platform launched 2009","RTGS, since 1998","RTGS, since 2001 (first version launched 1995)","Fedwire Funds, RTGS",SBV's trading desk does not publicise this details,"RTGS, since 1999",SAMOS, 
Intra-day liquidity facility,Intra-day repo,Using Federal Govt bonds repos or reserve requirements,Intra-day pledged collateral,Intra-day repo,Intra-day repo,Intra-day collateral loan and overdraft,"Yes, intra-day repo",Intra-day collateralised loan,Automatic intraday repo,Intra-day repo,Intra-day liquidity facility / Liquidity Support Facility,Collateralised intra-day overdraft,C/A,"(i) Collateralised intra-day overdraft
(ii) Intra-day repo",Intra-day repo and intra-day overdraft through secured loans and/or repos [302],Intra-day collateralised loans,N/A [303],Intra-day repo,Intra-day liquidity facility (ILF),Intra-day collateralised loan,Intra-day repo facility for all eligible MEPS+ participants that have signed a GMRA with MAS,ILF Repo,Daylight overdraft caps. Fee if uncollateralised.,Overdrafts and overnight lending in interbank electronic payments [304],"Intra-day repo and overdraft, depending on country",CBMS,Intraday limits
Charge,No charge for repo operations,"Systems are charged per transaction. Intraday liquidity for STR is free of charge. ""After hours"" liquidity for SPI is charged 90% Selic rate.",No charge,No charge (110% collateral),No charge,Charge at interest rate of SLF(Standing Lending Facility),0.10%,No charge,"No charge, with haircut applied",No charge [305],No charge,No charge,N/A,"(i) No charge unless the intra-day credit amount is more than 25% of financial institution’s equity capital
(ii) No charge",No charge,Admin fee RM12 per RM5 mil transaction [306],N/A,No charge,"The ILF availment, if repaid before the end of day, is not charged an interest. It gets converted to an OLF if unpaid after 5:00 P.M. and then to an outright sale the next day if the bank fails to return the funds. [307]",No charge.,No charge unless otherwise announced,No charge [308],No charge if against collateral; Fee if uncollateralised,SBV's trading desk does not publicise this details,No charge if against collateral, ,No charge
Foreign currency settlement system,No,N/A,No,EUR RTGS,No,No,No,No,"RMB, USD and EUR RTGS",Link to Hong Kong’s USD CHATS system,Yes; netting through a central counterparty with Settlement on payment versus payment (PvP basis),No,N/A,No,Yes,"USD PvP link to Hong Kong USD CHATS, Renmimbi Settlement Services",No,Yes,Yes - Philippine Domestic Dollar Transfer System (PDDTS) for USD transfers,No,No,Link to Hong Kong’s USD CHATS system,No,As above,No,Calypso, 
CLS participation by banks,Yes,N/A,Yes,Yes,No,Yes,No,Yes,Yes,No,No [309],Yes,N/A,Yes,"Yes, some commercial banks","Yes, commercial big banks only",Yes,No,Yes [310],Yes,Yes,No,Yes,As above,Yes, , 
Other settlement system(s),Yes [311],N/A,CDSX (securities settlement system),Securities settlement system,"Yes, CCAV(High-Value Clearinghouse)", ,Public debt securities settlement system [312],Yes [313],Yes [314],Yes [315],Government Securities settlement through central counterparty (CCIL),Yes [316],N/A,N/A,N/A,Pan-Asian Platform [317],NZClear - security,No,Securities Settlement System [318],Securities settlement system,Securities settlement system,Imaged Cheque Clearing System,Yes [319],As above,Ancillary systems [320], ,"EFT, ESTS"
Standing facilities: List of eligible collateral,"AAA-rated AUD long-term debt securities (including asset-backed) issued in Australia (can apply to use self-securitised asset-backed securities in standing facilities only). Additionally, all AUD short-term debt and long-term debt (subject to a minimum credit rating) issued by authorised deposit-taking institutions or other corporations is eligible. Full list available at: http://www.rba.gov.au/mkt-operations/resources/tech-notes/eligible-securities.html",Domestic Federal Govt Bonds,"Canadian-dollar and certain US-dollar assets are eligible to be pledged as collateral.
A wide range of securities from public and private sector issuers are eligible. Full list available at: https://www.bankofcanada.ca/markets/market-operations-liquidity-provision/browse-collateral-policies/.","Only those securities included in the list of collateral eligible for SNB repos may be used as collateral for repo transactions. This list is continuously updated and published on the SNB's website (www.snb.ch > Financial markets > Monetary policy operations > Collateral eligible for SNB repos).
The SNB may accept securities (debt certificates) denominated in Swiss francs
and foreign currency as collateral, provided the following criteria are met:
(i) The securities are issued by central banks, public sector entities, international or supranational institutions, multilateral development banks and private sector entities. Securities issued by financial institutions are, as a rule, not eligible as collateral for SNB repos. However, covered bonds issued by financial institutions are admissible, provided the issuer is not a domestic financial institution or its foreign subsidiary. Also admissible are securities issued by the mortgage bond bank of the Swiss mortgage institutions and the mortgage bond institute of the Swiss cantonal banks.
(ii) The securities have a fixed-principal amount with unconditional redemption.
(iii) The securities have a fixed rate, floating rate or zero coupon.
(iv) The securities are traded on a recognised stock exchange or a representative market in Switzerland or a member state of the European Union (EU), the European Economic Area (EEA) or in the UK with price data published on a regular basis.
(v) The securities can be delivered through SIX SIS Ltd (SIS); intermediate and ultimate depository in Switzerland, an EU or EEA member state or in the UK.
(vi) The country and securities ratings are based on credit ratings of at least one of the rating agencies – Standard & Poor's, Moody's or Fitch.
In addition to the general criteria, further criteria apply. Those criteria vary between securities denominated in Swiss Francs and securities denominated in foreign currency. Details can be found in the ""Instruction sheet on collateral eligible for SNB repos"" published on the SNB website.","Instruments issued by the Central Bank of Chile, Government Bonds, Mortgage Backed Securities issued by local banks, bank deposits and bonds, corporate bonds.",High quality bonds and loans,"Public debt securities (denominated in foreign and local currency) and Banco de la RepublicaÂ´s securities. Banco de la Republica may activate acceptance of private debt, foreign government securities and bank loans. [321]","Gilts (including gilt strips)
Sterling Treasury bills
Bank of England securities
HM Government non-sterling marketable debt
Sterling, euro, US dollar and
Canadian dollar denominated securities (including associated strips) issued by the governments and central banks of Canada, France, Germany, the Netherlands and the United States",Exchange Fund paper,"Domestic currency denominated securities:
1. Securities issued by BI (SDBI, SBI, SBIS, SukBI)
2. Securities issued by Government of Indonesia",Government securities including State Government securities and oil bonds,"Government Bonds, Treasury Discount Bills, Government-guaranteed Bonds, Municipal Bonds, Fiscal Investment and Loan Program Agency Bonds, Corporate Bonds, CP, Bills drawn by companies, ABSs, ABCP, Foreign Government Bonds, Bonds issued by Real Estate Investment Corporations, Bill drawn by Real Estate Investment Corporations, International Financial Institution Bonds, Electronically Recorded Monetary Claims on Companies, Loans on Deeds to Companies, Electronically Recorded Monetary Claims on the Government (including Government's Special Accounts), Loans on Deeds to the Government (including Government’s Special Account, Electronically Recorded Monetary Claims with Government Guarantees, Loans on Deeds with Government Guarantees, Electronically Recorded Monetary Claims on Real Estate investment Corporations, Loans on Deeds to Real Estate investment Corporations, Electronically Recorded Monetary Claims on Municipal Governments, Loans on Deeds to Municipal Governments, Foreign Government Bonds of US, UK, Germany or France, denominated in local currency, Loans on Deeds to Companies Denominated in the US Dollar, Beneficial Interest of a Trust in Housing Loans. [322]",Negotiable Certificate of Deposits (NCDs),"1.Credit securities including bills acquired by financial institutions through lending. The remaining maturities of the credit securities must be reached within one year of their acquisition by the BOK.
2. Bonds issued by government or bonds whose principal and interest are guaranteed by government.
3. Monetary stabilisation bonds (MSBs).
4. Debentures issued by the Korea Development Bank.
5. Debentures issued by the Industrial Bank of Korea.
6. Debentures issued by the Export-Import Bank of Korea.
7. MBSs issued by the Korea Housing Finance Corporation. [323]","Government bonds, central bank bonds, IPAB bonds, MRDs, deposits executed through OMOs, voluntary deposits (3-month deposits), deposits carried out in the determination of the TIIE rate, and USD deposits are eligible. [324]","Ringgit denominated securities:
1. securities issued by the Government of Malaysia;
2. securities issued by the Bank;
3. securities issued by EMEAP-member governments;
4. securities issued by non-EMEAP member governments with minimum investment grade international ratings of Baa3, BBB- , whichever lower, as defined by Fitch Ratings (“Fitch”), S&P Global Ratings (“S&P”) and/or Moody’s Investor Services, Inc (“Moody’s”);
5. securities with explicit guarantee by the Government of Malaysia or EMEAP-member governments or non EMEAP-member governments with minimum investment grade international ratings of Baa3, BBB- , whichever lower, as defined by Fitch, S&P and/or Moody’s;
6. securities issued by multilateral development banks or multilateral financial institutions with AAA international rating, as defined by Fitch, S&P and Moody’s;
7. securities issued by non-residents with AAA domestic ratings and minimum investment grade international ratings of Baa3, BBB- , whichever lower, as defined by Fitch, S&P and/or Moody’s;
8. corporate bonds and sukuk with minimum A3 or A- domestic ratings as defined by Rating Agency Malaysia (RAM) and Malaysian Rating Corporation (MARC); and
9. Bankers Acceptances (BAs) and Negotiable Instruments of Deposits (NIDs) issued by onshore licensed banks with minimum AAA domestic rating; and
10. other securities that may be specified by the Bank from time to time.

Non-ringgit denominated securities:
1. Securities issued by Government of Malaysia; 2. Securities issued by the Bank
3. Securities issued by EMEAP-member governments in, USD, GBP EUR, JPY and the respective home currencies;
4. US Treasury Securities and UK Gilts;
5. Securities issued by multilateral development banks or multilateral financial institutions with minimum AAA international rating, and securities issued by International Islamic Liquidity Management Corporation (IILM); provided that the securities above are issued in USD, GBP, EUR or JPY;
6. Home currency sovereigns issues and cash collateral of countries which BNM has signed CBCA; and
7. Other securities that may be specified by BNM from time to time.","NZ Government, RB bills, NZ Local Government Funding Agency, Kauris and Securities issued/guaranteed by foreign Governments to A-1+/AA.
Bank securities, Local Authorities, State Owned Enterprises and Corporate securities to A2/BBB-.
Asset backed securities 1-1+/AAA.
RMBS single and two name, and Covered bonds AAA. [325]","Securities issued by the Central Bank Securities issued by the Central Government Mortgage related securities issued by financial institutions rated AA or higher, Corporate bonds issued by non-financial institutions rated AA or higher, Letter of guarantee from another bank rated B+ or higher, Deposits at the Central Bank, Others to be announced by the Central Bank","(1) Government Securities (2) Eligible credit instruments, such as promissory notes, trust receipts and export bills, which proceeds were used for economic activities and secured by acceptable underlying collaterals, depending on the type of economic activity, as follows:
a. Duly notarized assignment of export or domestic letters of credit, confirmed purchase orders or sales contracts;
b. Duly registered mortgage on real estate property;
c. Acceptable guarantees/sureties; or
d. Marketable debt instruments issued by the National Government and all its instrumentalities, including Republic of the Philippines United States Dollar-denominated bonds. [326]","With restrictions on currency and nationality etc.
Standing lending facility:
i. securities issued by governments
ii. securities issued by central banks
iii. other receivables at central banks.
Supplementary liquidity facility:
i. securities issued by international organisations
ii. securities guaranteed by governments
iii. covered securities (covered bonds)
iv. securities issued by agencies
v. Corporate bonds (minimum rating A-/A3).","1. Singapore Government Securities
2. MAS Bills
3. SGD debt securities, including sukuk, issued by any Singapore statutory board and AAA-rated or AA-rated public sector entity, supranational, sovereign, sovereign-guaranteed company or non-financial company.
4. Foreign currency denominated securities and cash specified in a bilateral arrangement involving the provision of liquidity entered into between MAS and the foreign central bank or monetary authority.","1. Government bills and bonds
2. Government-guaranteed state enterprise bonds or state enterprise bonds with AAA rating
3. Central bank bills and bonds
4. USD
5. Securities issued by governments and central banks of countries which BOT has signed CBCA (currently, JGS, MGS, securities issued by BNM)
6. Foreign currencies of countries which BOT has signed CBCA (currently, JPY and MYR)","Discount Window: The Federal Reserve Banks will consider accepting as discount window collateral any assets that meet regulatory standards for sound asset quality. This includes most investment grade-rated fixed-income securities denominated in U.S. dollars, selected AAA-rated fixed income securities denominated in an Eligible Foreign Currency, and performing bank loans. For additonal information, see The Federal Reserve System's Collateral Guidelines at frbdiscountwindow.org.

Standing Repurchase Agreement Facility (SRF): Eligible collateral includes Treasury securities, agency debt securities, and agency mortgage backed securities. For additonal information, see the Repo Securities Schedule on the Federal Reserve Bank of New York website.

Foreign and International Monetary Authorities (FIMA) Repo Facility: Eligible collateral includes U.S. Treasury securities. For additional information, see the Federal Reserve Board's Policy Tools website. [327]","Securities used in transactions with the State Bank:
- SBV bills
- Government bonds, including: Treasury bills/ Treasury bonds/ Central project bonds/ Government bonds issued by the Vietnam Development Bank (formerly Vietnam Development Fund) per request of the the Prime Minister
- Bonds guaranteed by the Government, including: Bonds issued by the Vietnam Development Bank and guaranteed by the Government for payment of 100% of the principal and interest value upon maturity; Bonds issued by Vietnam Bank for Social Policy are guaranteed by the Government for payment of 100% of the principal and interest value upon maturity; Bonds issued by VEC by the Government for payment of 100% of the principal and interest value upon maturity;
- Local Government bonds issued by the People's Committee of Hanoi and the People's Committee of Ho Chi Minh City; the People's Committee of Da Nang City","No distinction is made between collateral eligible for Marginal Lending Facility / Open Market Operations /Intraday credit.
Two categories:
1. Marketable assets, representing around
18.2 trillion (Q2 2022 data, nominal amounts, not all eligible assets are available on the banks’ balance sheets). Full list available on ECB Website (-> Collateral).
2. Non marketable assets. By contrast with marketable assets, only amount of eligible non-marketable assets, that are mobilised known to the Eurosystem (Q2 2022: EUR 896 billion, after valuation and haircuts, averages of end of month data); Eligibility criteria and quantitative information on eligible (marketable) collateral and mobilised collateral (marketable and non-marketable) are available on the ECB’s Website (Home -> Monetary Policy -> Collateral -> Eligibility criteria and assessment) collateral data",government paper (SAGBs; TBs and FRNs) and SARB debentures (debentures no longer issued),"- Government bonds Government bonds by Treasury of Turkiye
- Lease certificates issued in domestic market by ALCTT (Asset Leasing Company of Turkish Treasury)
- IILM Sukuk
- Eurobonds issued by the Undersecretariat of Treasury of Turkiye
- Lease certificates issued by ALCTT
- Foreign bonds and notes
- FX deposits
- FX banknotes deposits
- Gold deposits
- Liquidity bills
- Asset backed securities / Mortgage backed securities / Covered bonds"
Standing facilities: Discretion of central bank on collateral [328],"Complete discretion, subject to notice periods under Committed Liquidity Facility",No,"Notwithstanding the eligibility criteria, the Bank of Canada retains the right to reject or accept any asset at its discretion, and/or to impose additional risk mitigants such as higher margins or further concentration limits.","The SNB can expand the collateral universe at its discretion beyond the current baskets, assuming the additional collateral meets its standards set, e.g., for credit quality and liquidity.",Board of Governors can expand the list of eligible securities issued by local banks,The PBC has expanded LPP (Loan Pledged Program) and ICR(Internal Credit Rating) programs nationwide on the basis of the pilot experience on December 2017. The loans of the corporate borrowers who meet the ICR standards could be brought into the eligible pool of collateral of PBC.,"The Central Bank can choose among the approved collateral securities, depending on the juncture.","The Bank sets out public eligibility criteria, though has the discretion to change those criteria as required",Yes,Yes,Yes [329],Eligibility of collateral are directed by the policy board, ,"Monetary Policy Board adjusts collateral types for standing facilities, if necessary.","Complete discretion. For regular standing facilities the list of eligible collateral is already set; still, it could change under the central bankÂ´s discretion. The Bank of Mexico has the possibility to expand the list of eligible assets through emergency standing facilities. Eligibility criteria is laid down in current regulation.",Complete discretion,"No discretion although have ability, to adjust price once limits on bank paper are breached.",Yes,"The BSP may prescribe additional credit instruments and collaterals eligible for rediscounting facility. Relatedly, as part of its responses to the economic threat of Corona Virus Disease 2019 (COVID-19) pandemic in the Philippines, the BSP implemented temporary measures in its Rediscount Facilities, including the acceptance of additional credit instruments, effective until 31 January 2021, subject to extension as may be approved by the Monetary Board. [330]",Yes,Yes,Yes. The collateral types can be expaned upon the BOT Board approval,"Discount Window: Individual Reserve Banks (RBs) have common standards for collateral eligibility and must ensure they are 'secured to the satisfaction of the Federal Reserve bank'. Collateral eligibility exceptions may be made at the discretion of a RB.

SRF: FRB-NY has discretion within the confines of OMO-eligible collateral (Treasury, agency or agency MBS securities, only), including adjusting haircuts.

FIMA Repo Facility: The Federal Reserve has the right to approve or deny requests by foreign central banks to use the facility.

ON RRP: Eligible collateral is currently limited to US Treasury securities. For additonal information, see the Repo Securities Schedule on the Federal Reserve Bank of New York website.",According to the decision of the Governor in different points in time,"Article 18.1 of the Statute of the ESCB, which defines that all Eurosystem credit operations need to be based on adequate collateral; concept of “adequate” has two dimensions, ie Eurosystem protection from incurring losses and availability of sufficient collateral to a broad set of counterparties; eligibility criteria are laid down in the “General framework''; additional temporary measures on collateral eligibility are laid down in the “Temporary framework”;
Euro area credit institutions can receive central bank credit not only through monetary policy operations, but exceptionally also through emergency liquidity assistance (ELA), which can be collateralised by assets other than the assets which are eligible for monetary policy credit operations. ELA means the provision by a Eurosystem NCB of 1) central bank money and/or 2) any other assistance that may lead to an increase in central bank money to a solvent financial institution, or group of solvent financial institutions, that is facing temporary liquidity problems, without such operation being part of the single monetary policy.", ,"CBRT decides collateral types and specific conditions on collaterals for standing facilities, if necessary"
Open market operations: List of eligible collateral,"AAA-rated AUD long-term debt securities (including asset-backed) issued in Australia. Additionally, all AUD short-term debt and long-term debt (subject to a minimum credit rating) issued by authorised deposit-taking institutions or other corporations is eligible. Full list available at: http://www.rba.gov.au/mkt-operations/resources/tech-notes/eligible-securities.html",Domestic Federal Bonds,Directly issued Government of Canada marketable securities denominated in Canadian dollars,See entry for standing facilities,"Instruments issued by the Central Bank of Chile, Government Bonds, and Mortgage Backed Securities issued by local banks","Government bonds, Central Bank bills and Policy Bank bonds, Government Sponsored Bonds and other High quality bonds",Public debt securities (denominated in foreign and local currency) and Banco de la RepublicaÂ´s securities. Banco de la Republica may activate acceptance of private debt securities and bank loans. [331],"Collateral split according to liquidity characteristics
Level A (eg highly liquid high-quality sovereign debt) eligible for intra-day liquidity, short-term OMOs, Indexed Long-Term Repo (ILTR), Discount Window Facility (DWF), Contingent Term Repo Facility (CTRF), Funding for Lending Scheme (FLS) and Term Funding Scheme (TFS/TFSME):
1. Gilts (including gilt strips)
2. Sterling Treasury bills
3. Bank of England securities
4. HM Government non-sterling marketable debt
5. Sterling, euro, US dollar and Canadian dollar denominated securities (including associated strips) issued by the governments and central banks of Canada, France, Germany, the Netherlands and the United States
Level B (eg liquid high quality sovereign, supranational, mortgage and corporate bonds) eligible for ILTR, DWF, CTRF, FLS and TFS/TFSME.
Level C (eg less liquid securitisations, own-name securities and portfolios of loans) eligible for DWF, and from 2014, ILTR as well as CTRF, FLS and TFS/TFSME.",N/A,"Domestic currency denominated securities:
1. Securities issued by BI (SDBI, SBI, SBIS, SukBI)
2. Securities issued by Government of Indonesia

Foreign currency denominated securities:
1. Securities issued by other countries (sovereign) which the central bank has agreement with BI",Both outright and LAF (reversable) transactions : Central and State Government securities,Same as those of standing facilities,Negotiable Certificate of Deposits (NCDs),"1. Treasury securities.
2. Government-guaranteed securities.
3. Monetary stabilisation bonds (MSBs),only applicable RP(liquidity supply).
4. MBSs issued by the Korea Housing Finance Corporation.","Government bonds, central bank bonds, IPAB bonds, MRDs, deposits executed through OMOs, voluntary deposits (3-month deposits), deposits carried out in the determination of the TIIE rate, and USD deposits are eligible.","Ringgit denominated securities issued by the Government of Malaysia and BNM, selected corporate bonds and sukuk with minimum A3 or A- domestic ratings",Same as standing facilities,"Securities issued by the Central Bank, Securities issued by the Central Government, Mortgage related securities issued by financial institutions rated AA or higher, Corporate bonds issued by non-financial institutions rated AA or higher, Others to be announced by the Central Bank",Government Securities,Same as for standing lending facility,"Singapore Government Securities, US dollars (FX swap), MAS Bills.","1. Government bills and bonds
2. Government-guaranteed state enterprise bonds or state enterprise bonds with AAA rating
3. Central bank bills and bonds","ONRRP: U.S. Treasuries
SRF: U.S. Treasuries, agency debt, and agency MBS",List of securities used in transactions with the State Bank is specified in Decision 11/QD-NHNN 2010,(See entry for standing facilities),government paper (SAGBs; TBs and FRNs) and SARB debentures (debentures no longer issued),"- Government bonds by Treasury of Turkiye
- Lease certificates issued in domestic market by ALCTT (Asset Leasing Company of Turkish Treasury)
- IILM Sukuk
- Eurobonds issued by Treasury of Turkiye
- Lease certificates issued by ALCTT
- Foreign bonds and notes
- FX deposits
- FX banknotes deposits
- Gold deposits
- Liquidity bills
- Asset backed securities / Mortgage backed securities / Covered bonds"
Open market operations: Discretion of central bank on collateral [332],Complete discretion,No,"The operations are discretionary, but once offered, the Bank will accept the specified collateral to cover the cash amount made available to the counterparty.",See entry for standing facilities,Board of Governors can expand the list of eligible securities issued by local banks [333],None,"The Central Bank can choose among the approved collateral securities, depending on the juncture.","The Bank sets out public eligibility criteria, though has the discretion to change those criteria as required.
The Bank does not normally accept equities as collateral under the SMF but has put in place (as of August 2018) the technical measures to allow it to do so at its discretion, should the need arise.",N/A,Yes,Yes [334],Same as those of standing facilities, ,Monetary Policy Board adjusts collateral types for OMOs if necessary. [335],"Complete discretion. For regular OMOs the list of eligible collateral is already set; still, it could change under the central bankÂ´s discretion.",Complete discretion,"The operations desk has complete discretion on Governor approved securities. Eligible securities placed in 3 groups – Government or near Government, Bank and other. Typically only accept Government, semi-governnment, Supranational, bank, and RMBS securities are accepted collateral in daily open market operations.",Yes, ,Yes,Yes,Yes. The collateral types can be expaned upon the BOT Board approval,"FRB-NY has discretion within the confines of OMO-eligible collateral (Treasury, agency or agency MBS securities, only), including adjusting haircuts.",The addition to the portfolio of securities to be used in transactions with the State Bank is stipulated in Decision 11/QD-NHNN in 2010 and other decisions on amendments and supplements.,(See entry for standing facilities), ,CBRT can expand the collateral types.
Forecast published?,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes, ,No,Yes,Yes,Yes,No,No,Yes.,No,No,No,No,Yes,No,The forecast is not disseminated.
Channel(s),"Reuters, Bloomberg", ,BOC Website, , , , , ,"Reuters, Bloomberg, and HKMA website","(i) BI website
(ii) LBUT (BI Antasena)
(iii) Bloomberg [336]", ,"Current account balance (with autonomous factors and OMOs): BOJ website, 6 info vendors", ,N/A,Via the central bank website and through a dedicated broadcast system for banks.,"Fully Automated System for Issuing and Tendering (FAST), the central bank transaction system at https://fast.bnm.gov.my/
Bloomberg (BNM), Reuters (NEGARA)","Reuters, Bloomberg and RBNZ website", , ,"The Riksbanks website, Reuters, Bloomberg",NA, , ,No,"ECB website, Market Information Dissemination (MID)", , 
Timing,Shortly before operations, ,4:20 pm, , , , , ,Real time on Reuters and Bloomberg and daily release on website,"(i & ii) 08:30 & 14:00
(iii) 08:30", ,Current account balance: around 18:00 on the previous working day, ,N/A,"The forecast is published on a daily basis only for the current day, approximately fifteen minutes before OMOs start (around 7:00 GMT-6).","9.30 am, 10.45 am, 3.30 pm, 4.00 pm",Daily: 9.30am (today’s forecast) and 4.00pm (tomorrow’s and next ten working days forecast) on Refinitiv/Bloomberg., , ,Tuesdays 9 AM.,NA, , ,No,"Monday, between 11:25 and 11:30 ECB time", , 
Remarks,RBA website in Statistical Table A3 after operations, ,Same-day final level of settlement balances in the payment system, , , , , , ,Forecast for current day only, , , ,N/A,"Current day level of liquidity, surplus or deficit.",Liquidity forecast made public since April 1998. Format of forecast amended in August 1999 due to additional information from RTGS implementation., , , , ,NA, , ,No,Forecasts for daily averages during the length of the main refinancing operation and not daily values are published,SARB publishes liquidity target for week at the weekly repo operation, 
